Li Junhao,,Rimiko,Times Fengjun Entertainment,B,1,t,11
Yu Jingtian,,Tony,Astro,A,2,t,1
Tang Jiuzhou,,Jojo ,Yihua Entertainment,N,3,t,5
Lian Huaiwei,,LianHuawei Studio,A,4,t,3
Sun Yihang,,Original Plan Entertainment,A,5,t,4
Liang Sen,,Young Entertainment,B,6,t,&
Liu Jun,,Jun Liu,Independent,A,7,t,8
Jiang Jingzuo,,Banana Entertainment,A,8,,23
IKELILI,,Huayi Hohan Film & Television,B,9,,49
Chen Junhao,,Drrchen,Mujia Entertainment,C,10,,33
Chang Huasen,,Waston,HaoHan Entertainment,N,11,,9
Deng Xiaoci,,Jerome D,Ciwen Media,N,12,,38
Yan Xi,,Liam,Independent,C,13,,20
Shi Qi,,Chase Lee,HeSong Entertainment,C,14,,25
Deng Zeming,,Jeremy,Ciwen Media,B,15,,19
Qiu Danfeng,,Chuk,Ruice Entertainment,N,16,,37
Xu Xinchi,Nemo,Xinli Media,N,17,,16
Chen Dingding,DING,Damei Defeng Entertainment,C,18,,52
Gao Yibai,,Hosky,GaoYibaiStuido,N,19,e,_
Zi Yu,,HuaKaiBanXia Culture Media,C,20,,18
Yang Haoming,,Sohu Entertainment,B,21,,36
Niu Zaizai,,TaoXiuGuangYing,N,22,,49
Zheng Xingyuan,,Huakaibanxia Cultural Media,B,23,,22
Zhang Siyuan,GG,Pretone Culture,C,24,,40
Cui Yufeng,Otter,Damei Defeng Entertainment,A,25,,42
Wang Haoxuan,WD,Hedgehog Brother Entertainment,C,26,,50
Ayu,,Jinhe entertainment,N,27,,51
Sun Yinghao,Kachine,Laoyu Vision,A,28,t,6
Shiqi Jun,,Damei Defeng Entertainment,C,29,e,_
Ka Si,Cass,Damei Defeng Entertainmen,B,30,e,_
Chen Yugeng,Crayon,Hot Idol,B,31,,30
Zhang Yu,, ,D.Wang Entertainment,B,32,e,14
Fu Ruqiao,,Meddhi,M.Nation,B,33,e,52
Zhu Linyu,,Bubble,Jaywalk Newjoy,C,34,e,46
Lin Xiaozhai,,Hana,Good@ Media,F,35,e,19
Xu Zhenzhen,,Zizi,Hippo Film,C,36,e,27
Li Yichen,,Victoria,Individual Trainee,F,37,e,35
Fei Qinyuan,, ,Siba Culture SNH48,D,38,e,71
Song Zhaoyi,,Kay,Yuehua Entertainment,C,39,e,108
Su Shanshan,,Air,Siba Culture SNH48,D,40,e,74
Qi Sui,,NaHo,Second Culture,F,41,e,69
Qinniu Zhengwei,,Luna Qin,Digital Mars Entertainment,D,42,e,15
